,id,name,host_response_time,host_acceptance_rate,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
43,631445,Belltown View Condo,within an hour,92%,2.0,Downtown,47.61373,-122.34887,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Luggage dropoff allowed"", ""Dedicated workspace"", ""Dishes and silverware"", ""Outdoor furniture"", ""City skyline view"", ""Outdoor dining area"", ""Shared pool"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""TV with standard cable"", ""Shared hot tub"", ""Cleaning products"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Ocean view"", ""Long term stays allowed"", ""Air conditioning"", ""BBQ grill"", ""Gym"", ""Shampoo"", ""Elevator"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Harbor view"", ""Smoke alarm"", ""Bed linens"", ""Host greets you"", ""Fire extinguisher"", ""Private patio or balcony"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Free street parking"", ""Extra pillows and blankets""]",$181.00,3,90,6,248,41268.0,4.82,4.86,4.87,4.85,4.84,4.87,4.81,1.55
44,635878,"Center UW Remodeled in 2021, Spacious 2 Beds (203)",within an hour,81%,202.0,University District,47.66313,-122.31428,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Baking sheet"", ""Building staff"", ""Self check-in"", ""Dishes and silverware"", ""Paid dryer \u2013 In building"", ""Room-darkening shades"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Crib"", ""Stove"", ""Paid washer \u2013 In building"", ""Dining table"", ""Portable fans"", ""Shower gel"", ""Exterior security cameras on property"", ""Shampoo"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Clothing storage: walk-in closet"", ""Smoke alarm"", ""Bed linens"", ""Paid parking off premises"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Paid parking on premises"", ""Oven"", ""Heating"", ""Essentials"", ""Extra pillows and blankets""]",$98.00,30,1125,0,40,0.0,4.2,4.58,4.45,4.63,4.56,4.53,4.23,0.27
46,654734,Downtown/Convention Center Condo,within an hour,100%,2.0,Downtown,47.61311,-122.32947,Entire condo,Entire home/apt,4,1.0,0.0,1.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Freezer"", ""Single oven"", ""High chair"", ""Dishes and silverware"", ""Paid street parking off premises"", ""Portable air conditioning"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Room-darkening shades"", ""Bathtub"", ""Electric stove"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Ceiling fan"", ""Hangers"", ""Crib"", ""Patio or balcony"", ""Cleaning products"", ""Iron"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Safe"", ""Ethernet connection"", ""Shower gel"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Elevator"", ""Single level home"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Bed linens"", ""Host greets you"", ""Children\u2019s dinnerware"", ""Fire extinguisher"", ""Coffee"", ""Blender"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""TV with Chromecast"", ""First aid kit"", ""Rice maker"", ""Extra pillows and blankets""]",$77.00,30,365,7,88,0.0,4.59,4.66,4.61,4.86,4.84,4.84,4.54,0.56
52,704764,Elegant Vintage Craftsman Apartment With Garden,within an hour,97%,1.0,Queen Anne,47.64057,-122.36956,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Sound system"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""TV"", ""Outdoor furniture"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Clothing storage"", ""Hangers"", ""Stove"", ""Cleaning products"", ""Washer"", ""Iron"", ""Bay view"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Books and reading material"", ""Shower gel"", ""Shampoo"", ""Single level home"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Breakfast"", ""Smoke alarm"", ""Lockbox"", ""Bed linens"", ""Mountain view"", ""Fire extinguisher"", ""Coffee"", ""Blender"", ""Private patio or balcony"", ""Garden view"", ""Microwave"", ""Refrigerator"", ""Cooking basics"", ""Dishwasher"", ""Oven"", ""Backyard"", ""Board games"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$185.00,1,10,19,384,21090.0,4.91,4.93,4.96,4.94,4.95,4.9,4.85,2.47
53,706385,Sky Cabin Apartment with Views,within an hour,100%,4.0,Cascade,47.64307,-122.32556,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Baking sheet"", ""Sound system"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Outdoor furniture"", ""Room-darkening shades"", ""Coffee maker: drip coffee maker"", ""Electric stove"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Indoor fireplace: gas"", ""Cleaning products"", ""Iron"", ""Dining table"", ""AC - split type ductless system"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Books and reading material"", ""Shower gel"", ""Lake view"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Clothing storage: closet and dresser"", ""TV with DVD player"", ""Smoke alarm"", ""Bed linens"", ""Mountain view"", ""Fire extinguisher"", ""Park view"", ""Coffee"", ""Blender"", ""Private patio or balcony"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Oven"", ""Board games"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$88.00,30,90,0,562,21120.0,4.98,4.98,4.98,4.97,4.98,4.94,4.9,3.58
54,708774,Clean and Comfortable Eastlake/Lake Union 1 BR,within an hour,99%,7.0,Cascade,47.64,-122.32412,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Stove"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Lake access"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Lockbox"", ""Smoke alarm"", ""Paid parking off premises"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""50 inch HDTV with Netflix, Roku"", ""Heating"", ""Essentials"", ""Long term stays allowed""]",$91.00,30,365,0,148,21840.0,4.88,4.96,4.94,4.99,4.95,4.78,4.81,0.95
55,723723,BAMBOO BUNGALOW,,,3.0,Central Area,47.61896,-122.28818,Entire home,Entire home/apt,1,,1.0,,"[""Fire extinguisher"", ""Self check-in"", ""Carbon monoxide alarm"", ""Lockbox"", ""Smoke alarm"", ""Private entrance""]",,30,200,0,49,,4.63,4.5,4.83,4.77,4.79,4.64,4.55,0.31
56,723846,"The Cozy Cottage in Maple Leaf (UW, Green Lake)",within an hour,70%,1.0,Northgate,47.69839,-122.31505,Entire guesthouse,Entire home/apt,3,1.0,0.0,1.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""32 inch TV"", ""Mini fridge"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Electric stove"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Beach essentials"", ""Hammock"", ""Hangers"", ""Cleaning products"", ""Iron"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Ethernet connection"", ""BBQ grill"", ""Books and reading material"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Single level home"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Just a toaster oven oven"", ""Private patio or balcony"", ""Garden view"", ""Microwave"", ""Refrigerator"", ""Cooking basics"", ""Dishwasher"", ""Clothing storage: closet"", ""Private backyard \u2013 Not fully fenced"", ""Board games"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Barbecue utensils"", ""Extra pillows and blankets""]",$131.00,2,365,0,202,2358.0,4.89,4.93,4.93,4.9,4.94,4.86,4.79,1.31
58,757840,"Hilltop House: Great Location, New Furnishings",within an hour,94%,1.0,Queen Anne,47.63349,-122.35611,Entire home,Entire home/apt,8,2.5,4.0,7.0,"[""Baking sheet"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Central heating"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Room-darkening shades"", ""Bathtub"", ""Coffee maker: drip coffee maker"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Free driveway parking on premises \u2013 2 spaces"", ""Hangers"", ""Central air conditioning"", ""Cleaning products"", ""Iron"", ""Barbecue utensils"", ""55 inch HDTV with Roku"", ""American Range stainless steel single oven"", ""American Range stainless steel gas stove"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Ethernet connection"", ""Smart lock"", ""Cleaning available during stay"", ""Books and reading material"", ""Shower gel"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Exterior security cameras on property"", ""Toaster"", ""Hair dryer"", ""Children\u2019s books and toys for ages 2-5 years old, 5-10 years old, and 10+ years old"", ""Hot water"", ""Electrolux refrigerator"", ""Laundromat nearby"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Indoor fireplace: wood-burning"", ""Coffee"", ""Drying rack for clothing"", ""Fireplace guards"", ""Blender"", ""Private patio or balcony"", ""Sonos Bluetooth sound system"", ""Microwave"", ""Cooking basics"", ""Dishwasher"", ""BBQ grill: gas"", ""Board games"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Rice maker"", ""Extra pillows and blankets""]",$399.00,4,15,0,564,101745.0,4.94,4.97,4.94,4.95,4.92,4.95,4.86,3.6
59,793629,Cheery Seattle House with View,within a few hours,80%,1.0,Beacon Hill,47.57734,-122.31492,Entire home,Entire home/apt,2,1.0,1.0,1.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Freezer"", ""Self check-in"", ""High chair"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""City skyline view"", ""Bathtub"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""TV with Roku, Netflix, Disney+, Amazon Prime Video"", ""Hangers"", ""Gas stove"", ""Outlet covers"", ""Cleaning products"", ""Iron"", ""Dining table"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Books and reading material"", ""Shower gel"", ""Clothing storage: closet and wardrobe"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Children\u2019s dinnerware"", ""Mountain view"", ""Fire extinguisher"", ""Coffee"", ""Drying rack for clothing"", ""Private patio or balcony"", ""Garden view"", ""Microwave"", ""Refrigerator"", ""Cooking basics"", ""Dishwasher"", ""Oven"", ""Window AC unit"", ""Heating"", ""Private backyard \u2013 Not fully fenced"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Children\u2019s books and toys"", ""Extra pillows and blankets""]",$109.00,5,180,3,350,14170.0,4.84,4.9,4.84,4.95,4.9,4.83,4.85,2.25
60,797358,Cozy Private Room and Bath in Old Craftsman House,within an hour,93%,3.0,Rainier Valley,47.57265,-122.29136,Private room in home,Private room,2,,,,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Portable air conditioning"", ""Outdoor furniture"", ""Bathtub"", ""Rice maker"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Beach essentials"", ""Free washer \u2013 In building"", ""Clothing storage"", ""Hangers"", ""Crib"", ""Exercise equipment"", ""Gas stove"", ""Record player"", ""Cleaning products"", ""Iron"", ""Barbecue utensils"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Shared backyard \u2013 Not fully fenced"", ""Ethernet connection"", ""Long term stays allowed"", ""Lock on bedroom door"", ""BBQ grill"", ""Books and reading material"", ""Shower gel"", ""Shampoo"", ""Single level home"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Shared patio or balcony"", ""Laundromat nearby"", ""Lockbox"", ""Smoke alarm"", ""Bed linens"", ""Sound system with aux"", ""Pets allowed"", ""Fire extinguisher"", ""Indoor fireplace: wood-burning"", ""Piano"", ""Coffee"", ""Free dryer \u2013 In building"", ""Blender"", ""Bread maker"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Board games"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Fire pit"", ""Free street parking"", ""First aid kit"", ""40 inch HDTV with Amazon Prime Video, Apple TV, HBO Max, Netflix"", ""Extra pillows and blankets""]",,2,14,1,191,,4.92,4.95,4.96,4.98,4.98,4.63,4.93,1.44
61,841274,Goat Hill House Apartment,within a day,92%,4.0,Rainier Valley,47.58548,-122.29458,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Free parking on premises"", ""Self check-in"", ""Dishes and silverware"", ""TV"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Outlet covers"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Lake access"", ""Air conditioning"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Lockbox"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Garden view"", ""Microwave"", ""Refrigerator"", ""Cooking basics"", ""Dishwasher"", ""Oven"", ""Backyard"", ""Heating"", ""Essentials"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$101.00,3,45,0,239,10908.0,4.88,4.96,4.9,4.98,4.94,4.86,4.88,1.57
62,844939,"Five Star Downtown Designer Urban Suite, Space Needle View",within an hour,100%,2.0,Downtown,47.61503,-122.3475,Entire condo,Entire home/apt,4,1.0,1.0,2.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Babysitter recommendations"", ""Dedicated workspace"", ""High chair"", ""Dishes and silverware"", ""Outdoor furniture"", ""City skyline view"", ""Bathtub"", ""Indoor fireplace"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Crib"", ""Exercise equipment"", ""Stove"", ""Patio or balcony"", ""TV with standard cable"", ""Washer"", ""Iron"", ""Dining table"", ""Hot tub"", ""Body soap"", ""Carbon monoxide alarm"", ""Sauna"", ""Ethernet connection"", ""Air conditioning"", ""BBQ grill"", ""Books and reading material"", ""Gym"", ""Shampoo"", ""Elevator"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Host greets you"", ""Children\u2019s dinnerware"", ""Pets allowed"", ""Fire extinguisher"", ""Coffee"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Backyard"", ""Pool"", ""Heating"", ""Wine glasses"", ""Essentials"", ""Long term stays allowed"", ""Children\u2019s books and toys"", ""Extra pillows and blankets""]",$149.00,30,365,11,331,37995.0,4.84,4.88,4.85,4.85,4.86,4.89,4.69,2.16
65,877203,In Jimi Hendrix's neighborhood 2,within an hour,100%,4.0,Central Area,47.60029,-122.30185,Private room in home,Private room,2,1.5,1.0,1.0,"[""Fire extinguisher"", ""Wifi"", ""Hair dryer"", ""Dishes and silverware"", ""Washer"", ""Coffee maker"", ""Heating"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Essentials"", ""Bed linens"", ""Kitchen"", ""First aid kit"", ""Dryer""]",$44.00,30,1125,0,112,10560.0,4.72,4.67,4.73,4.79,4.75,4.63,4.76,0.74
66,879181,In Jimi Hendrix's neighborhood 3,within an hour,100%,4.0,Central Area,47.60096,-122.3019,Private room in home,Private room,2,1.5,1.0,2.0,"[""Free parking on premises"", ""Dishes and silverware"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Stove"", ""Washer"", ""Iron"", ""Shampoo"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials""]",$45.00,30,365,21,110,10800.0,4.83,4.87,4.8,4.93,4.89,4.67,4.78,0.71
68,904057,Seattle Mini Home with Hot Tub and Private Deck,within an hour,100%,1.0,Ballard,47.66617,-122.36693,Entire guesthouse,Entire home/apt,2,1.0,1.0,1.0,"[""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Sun loungers"", ""Mini fridge"", ""Outdoor furniture"", ""Room-darkening shades"", ""Outdoor dining area"", ""Kitchen"", ""Private entrance"", ""Hangers"", ""Stove"", ""Fast wifi \u2013 138 Mbps"", ""Cleaning products"", ""Iron"", ""Dining table"", ""AC - split type ductless system"", ""Plain White body soap"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Crib - available upon request"", ""Cleaning available during stay"", ""Shampoo"", ""Private hot tub"", ""Toaster"", ""Keypad"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Laundromat nearby"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Private patio or balcony"", ""Garden view"", ""Microwave"", ""Refrigerator"", ""Cooking basics"", ""TV with Netflix, Roku"", ""Clothing storage: closet"", ""Backyard"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$110.00,3,60,10,622,28050.0,4.92,4.93,4.87,4.98,4.96,4.89,4.9,4.05
69,938173,Peaceful Lakeside House on Lake Washington,within an hour,100%,1.0,Rainier Valley,47.51208,-122.24913,Entire home,Entire home/apt,6,1.0,2.0,2.0,"[""Luggage dropoff allowed"", ""Freezer"", ""Room-darkening shades"", ""Outdoor dining area"", ""Private entrance"", ""Record player"", ""Body soap"", ""Ethernet connection"", ""Lake access"", ""BBQ grill"", ""Shower gel"", ""Shampoo"", ""Toaster"", ""Heating - split type ductless system"", ""Laundromat nearby"", ""Refrigerator"", ""Whirlpool electric stove"", ""Fire pit"", ""Hot water kettle"", ""Free street parking"", ""Baking sheet"", ""Dishes and silverware"", ""Sun loungers"", ""Free washer \u2013 In unit"", ""Kitchen"", ""Hammock"", ""Iron"", ""Exterior security cameras on property"", ""Lake view"", ""Hot water"", ""Coffee maker"", ""Outdoor shower"", ""Dishwasher"", ""Board games"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""First aid kit"", ""Children\u2019s books and toys"", ""Extra pillows and blankets"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Outdoor furniture"", ""City skyline view"", ""Wifi"", ""Free residential garage on premises \u2013 4 spaces"", ""Beach access \u2013 Beachfront"", ""AC - split type ductless system"", ""Portable fans"", ""50 inch HDTV with Amazon Prime Video, Apple TV, Hulu, Netflix, standard cable, DVD player"", ""Sound system with Bluetooth and aux"", ""Hair dryer"", ""Lockbox"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Drying rack for clothing"", ""Beach view"", ""Blender"", ""Cooking basics"", ""Oven"", ""Private backyard \u2013 Not fully fenced"", ""Housekeeping available 2 hours a day, 3 days a week - available at extra cost"", ""Dedicated workspace"", ""Self check-in"", ""Beach essentials"", ""Boat slip"", ""Private sauna"", ""Hangers"", ""Outlet covers"", ""Cleaning products"", ""Dining table"", ""Exercise equipment: free weights, yoga mat"", ""Carbon monoxide alarm"", ""Waterfront"", ""Books and reading material"", ""Free dryer \u2013 In unit"", ""Single level home"", ""Smoke alarm"", ""Outdoor playground"", ""Private patio or balcony"", ""Microwave"", ""Barbecue utensils"", ""Long term stays allowed""]",$167.00,30,1125,0,59,42585.0,4.97,4.98,4.95,4.97,4.98,5.0,4.88,0.86
